index,label,preprocessed_news
10,fake,numero fuzilados durante regime fidel castro pode ter chegado casa mil acordo documentos projeto cuba archive organizado residentes nova jersey chamado paredon cubano vitimou menos acordo fonte porem fuzilamentos ilha desde instauracao regime fidel podem ter chegado casa mil anos regime irmaos castro fuzilou menos pessoas segundo estimativa proprio fidel governo cuba manteve decada cerca mil oponentes politicos atras grades coordenadores projeto cuba archive existente desde compilou documentos depoimentos desde ate data hoje dados estao disponiveis site ha outras tres estimativas citadas analistas historiadores consultados folha sp sobre paredon cubano livro negro comunismo bertrand brasil relata mil mil pessoas fuziladas ja liveo cuba cronologia cinco siglos historia politica y cultura historiador cubano leopoldo estima menos opoentes governo fuzilados ate final hugh thomas historiador britanico autor cuba or the pursuit of the liberty diz torno fuzilados ate pra ainda acha fidel boa pessoa google ai basta perder tempinho pesquisar
11,fake,coodenador revolta aumento impostos corruptos desviam bilhoes ano procurador republica deltan dallagnol coordenador forca tarefa ministerio publico federal varias pessoas lutam tirar pais maos ladroes gravata mensagem publicada redes sociais dallagnol desabafou sobre aumento impostos anunciado governo temer precisamos recuperar dignidade claro brasileiros vao compreender aumento impostos desviam bilhoes ano praticando corrupcao gastam devem emendas milionarias fim livrar temer acusacoes corrupcao agora querem colocar conta bolso aumentando impostos toda vez abastecer carro vou pensar saude educacao pobres buracos estradas infraestrutura precaria prejudica investimentos vou lembrar disso tudo
12,fake,lula voce nao sabe moleque sofreu ser dono friboi bem antes nada gostariamos dizer video abaixo comovente voce problemas cardiacos tendencia depressao favor nao assista depoimento comovente feito ontem lula faz apelo juiz sergio moro entao pf mpf apresentam desgraca criam fantasia fantasia chefe escolhi todo mundo pra roubar agora parte triste peco moro ouvindo grupo procuradores pf apresentem prova pedaco papel higienico assinado amor deus porque assim voces ajudam internet passou anos falando filho dono friboi voce nao sabe moleque sofreu ser dono friboi abaixo video original cortes nao haver duvidas sobre fala minuto
13,fake,urgente janot pede prisao aecio neves republica rodrigo janot pediu nesta supremo tribunal federal stf prisao senador afastado aecio neves advogado alberto toron faz defesa aecio neves informou aguarda ser intimado sobre pedido pgr apresentar contrarrazoes oportunidade demonstrara impropriedade pedido tambem afirmou ingressara stf pedido revogar afastamento senador mandato falta base legal constitucional orgao entende aecio pego flagrante crime inafiancavel tentativa obstruir investigacoes operacao lava jato base gravacoes realizadas donos jbs entregues delacao premiada empresa janot argumentou gravacoes interceptacoes telefonicas demonstrariam aecio vem adotando constante reiteradamente estrategias obstrucao investigacoes operacao lava jato
14,fake,lula recebe intimacao justica escreve letras esgarranchadas pretendo recorrer lula recebeu oficial justica residencia sao bernardo vez demonstrou desprezo sistema judiciario brasileiro documento expedido juiz federal sergio moro consta intimacao oficial petista condenacao anos prisao unica coisa fazer assinar documento nao contentou fez rabisco horroroso mensagem moro letras esgarranchadas condenado escreveu intimacao pretendo recorrer
15,fake,americano revoltado escreve texto viraliza internet razoes porque odeio brasil brasileiros ser casado brasileira viver pouco anos brasil decidiu cuspir prato comeu asmaislidas retornou terra natal usou redes sociais descrever tudo odiou pais lista publicada portal divulgada facebook twitter apos receber diversos comentarios agressivos parte brasileiros americano decidiu excluir postagem original forum printou tal lista materia voltou viralizar nao consideracao nao participam circulo social vizinho toca musica alta durante noite voce pedir educadamente abaixar som vai mandar voce fu simplesmente nao educacao alguem esbarra voce rua nunca ira pedir desculpas esqueca sao agressivos querem levar vantagem tudo transito exemplo forma ultrapassar voce assim farao jogam carro pra cima piedade nao respeitam meio ambiente jogam lixo rua natureza rios qualquer lugar recursos naturais estao sendo desperdicados pais sujo toleram corrupcao governo setor privado populacao elege mesmos corruptos sempre mulheres brasil sao obcecadas corpos adoram competicao si homens acham legal trair mulheres fazem maior descaramento nao ha fidelidade sao mal educados falam mal outros publicamente nao importam ferir sentimentos outra pessoa trabalhadores sao geralmente malandros preguicosos atrasados querem ganhar trabalhar pouco acham governo dar tudo bolsa nao estudam nao capacitam adoram ficar resmungando cantos ricos sao arrogantes insensiveis acham estao acima justica pobres ganham tao pouco mal conseguem alimentar nao esperancas futuro partem crime brasileiros nao esperam voce terminar falar interrompem comecam tagarelar especie competicao ser ouvido policia ineficaz ganha pouco nao cumpre leis proteger populacao vez nao respeita policia pessoas vivem cercadas muros grades alarmes cercas eletricas constantemente estao panico medo violencia tornam tudo inconveniente dificil burocracia politicos impoem cidadaos algo outro mundo impostos brasil nunca retornam povo sao roubados cara dura voltando assuntos impostos pagam taxas absurdas tudo produtos casa eletronicos carros arroz feijao etc empresarios sao obrigados seguir leis sustentar governo corrupto quase nunca conseguem fazer lucro verao quente inferno dura meses ano casas nao possuem isolamento termico voce sofre calor durante meses passa frio outros comida graca repetitiva inconveniente quase nao existe alimentos congelados prontos serem consumidos voce encontra preco absurdamente elevado sao sociaveis quase nunca ficam sozinhos voce nao consegue descansar fins semana quase obrigatorio convidar pessoas ir casa nao saem debaixo asas papai mamae moram todos juntos espremidos ficam perto emocional geograficamente durante toda vida familias vivem intrometendo vida casal aconteceu comigo fazem fofocas diariamente servicos basicos eletricidade agua esgoto internet sao pessimos ausentes maior parte pais voce encontra servicos sao absurdamente caros ruins qualidade agua reprovavel so existe tipo cerveja brasil composta basicamente agua porcaria cervejas importadas custam olhos cara leia tambem
16,fake,ministro defesa nao descarta intervencao militar politicos nao resolverem crise raul jungmann ministro defesa governo temer nao descartou hipotese intervencao militar brasil sobre militares raul jungmann disse visao crise atual pode ser assim resumida estao fechados diz constituicao nada farao livrinho entendem tendo vista aprofundamento social economico crise cabe politicos rapida resolucao antes crise agrave ainda estao preocupados perspectiva quadro nao ser revertido verem convocados intervir nome garantia lei ordem glo art caput cf jungmann ainda escreveu conjuntura razao quanto temor descontrole desemprego recessao inflacao colapso fiscal estados municipios justifica preocupacao quadro poderia ser saneado politica nao refem propria texto publicado conta pessoal facebook ministro
17,fake,diogo portugal conselho valioso lula viu eike corre compra diploma ainda tempo humorista comentou sobre prisao eike batista guardado ate pouco tempo complexo penitenciario bangu empresario nao comprovou ter concluido ensino superior brasil portanto nao direito recolhimento separado cara rico brasil revista forbes caras ricos mundo agora viu lambanca fez investiu tudo menos estudo disse diogo diogo aconselhou lula lula corre pra comprar diploma porque ainda tempo
18,fake,internauta rebate texto americano criticou brasil antes falar verifique mazelas pais americano revoltado escreveu texto onde destacava motivos fizeram odiar brasil brasileiros leia aqui internauta eduardo nao vamos citar sobrenome questoes privacidade leu palavras gringo decidiu digamos igualar jogo concordo algumas colocacoes sobre impostos politicos principalmente discordo quanto povo brasileiro grandes cidades existe sim nervosismo isolamento pessoas fato ser perigoso contato estranhos assim igualzinho grandes cidades interior pessoas sao cordiais receptivas ja varias oportunidades vivenciar b quanto poluicao ambiental certo pois povo nao educado contrario norte americanos sao educados acabaram milhoes hectares florestas poluem ar constantemente ate sairam acordos mundiais diminuir emissao poluentes tragedias derramamento petroleo poluiram mataram toda fauna flora golfo alem disso passado quase extinguiram bufalos bisoes esporte massacraram milhares indios reservas viver miseraveis c la eua existe muita falta educacao tambem principalmente transito grandes cidades metro todo pichado muitos politicos corruptos racismo disfarcado nao principalmente contra latinos negros ex harlem d outro assunto abordado brasileiros ficam sob asas pais ora maioria populacao trabalhar desde cedo contribuir sustento lares entao afirmacao nao verdadeira estados unidos conhece mulher primeira coisa quer saber quanto voce conta bancaria la onde surgiu grande industria divorcios milionarios principalmente infidelidade cultura la voltada valorizar bem medem pessoas quanto ganham anualmente separando pessoas castas ricos ficam fechados reunioes clubes exclusivos f quanto comida discordo totalmente colocacao deste americano infeliz estadia brasil pois culinaria brasileira tamanho continental farta diversos tipos alimentos temperos sabores distintos onde dirigem diversos chefs mundo todo busca captar pratos novos temperos novos sabores contrario comida norte americana toda enlatada congelada sabor principalmente churrascos gosto nada carne hormonio ja presenciei visitas tecnicas confinamentos so pegam sabor sao cobertos molhos tipo barbecue feitos churrasqueiras gas sofrivel
19,fake,pau chico dar francisco tambem nao costumamos reproduzir materia sites petistas porem blog tijolaco publicou texto merece atencao lils palestras empresa lula recebeu cerca milhoes ultimos anos nao acreditando existencia dessas palestras algo nunca publicado internet detalhe curioso chamou atencao contratantes tais conferencias sao empresas conhecidas brasil mundo rede globo pagou r mil lula microsoft pagou r mil nestle r mil bank of america r mil lista continua lojas americanas portal terra tetrapak tv azteca mexico lg telos parceiros abril folha sp etc onde queremos chegar obvio palestras realmente existiram sao legais conforme mostra imagem abaixo aconteceu alguma treta todos nomes citados imagem sao cumplices lula devem responder criminalmente assim pau chico dar francisco tambem
20,fake,irene ravache revolta soltura assassina isabella nardoni maes nao aceitamos atriz irene ravache gravou video onde expressa revolta caso menina isabella nardoni jogada sexto andar edificio vila guilherme sp ano atriz fez publicacao redes sociais onde classificou cruel liberacao madrasta isabella regime semiaberto acabo saber assassina menina isabella recebeu beneficio justica quero pedir todas maes avos madrastas tias madrinhas irmas unam nesse momento menina ter justica assassina nao pode receber beneficio cruel anna carolina jatoba assassina conseguiu progressao pena porque manteve otimo comportamento prisao irene tambem deu opiniao sobre fato beneficio bom comportamento jogar enteada janela bom comportamento nao aceitamos maes avos nao queremos mulher liberdade pai isabella alexandre nardoni madrasta anna carolina jatoba condenados marco homicidio doloso qualificado receberam pena anos mes anos meses respectivamente isabella apenas anos morreu
21,fake,jornalista encurrala rodrigo maia vai dar golpe temer assim fez dilma jornalista roberto d avila entrevistou presidente camara deputados rodrigo maia inicio entrevista apresentador perguntou maia voce fara michel temer fez dilma perguntou presidente camara respondeu mae passou mensagem perguntou conspirando disse nao mostrei mensagem presidente temer
22,fake,vereador matou cascavel mordida recebe alta hospital mordeu dei troco alvaro teixeira psb vereador cidade juru paraiba picado pe cascavel nao deixou barato matou bicho proprios dentes cabeca cascavel esmagada mordida alvaro caso aconteceu ultima area rural onde vereador reside alvaro ficou internado durante cinco dias tomou soros antiofidicos livrar veneno cobra vereador tambem trabalha agente penitenciario juru recebeu alta manha hoje criado campo ja pensava nisso dia cobra morder mordo volta disse
23,fake,deputado extrapola bom senso chama gloria pires wagner moura vagabundos lei rouanet deputado wladimir costa diversos deputados receberam dinheiro emendas parlamentares objetivo salvar mandato presidente michel temer costa ja acusado fraude eleitoral usou tribuna camara alem limites normais bom senso durante votacao impeachment dilma rousseff camara parlamentar ja havia transformado tribuna casa circo dessa vez nao diferente deputado conhecido discursos decidiu direcionar ataques atores atrizes rede globo so longe demais acabou disparando alguns insultos inaceitaveis alguem ocupa cargo publico tamanha importancia nao gostar pt coisa promover discurso odio outra coisa bem diferente parlamentar ser processado quebra decoro confira video abaixo
24,fake,mae furtou ovo pascoa recebeu pena maior reus lava jato mulher furtou ovos pascoa supermercado condenada tribunal justica sp tempo prisao diversos envolvidos operacao lava jato mulher condenada tres anos dois meses prisao regime fechado responsavel tres criancas menores anos vive filho novo dias cela superlotada ala materna penitenciaria feminina pirajui maria nome ficticio presa flagrante ha dois anos furtar produtos supermercado matao sao paulo permaneceu reclusa cinco meses ate juiz concedeu liberdade provisoria condenada primeiro grau sentenca mantida segunda instancia voltou carcere novembro gravida detenta deu luz ultimo abril vive filho cela cuja capacidade pessoas lado outras lactantes donos friboi trocaram delacao prisao entregaram todo mundo gravaram conversas politicos premio moram hoje livres bilionarios nova iorque mohamed nacirdine condenado ano prisao maria dirce penasso condenada corrupcao passiva dois anos recorre condenacao liberdade joao procopio prado ligado yousseff cumpre sentenca prisao domiciliar juliana cordeiro moura condenada dois anos recorre liberdade rinaldo goncalves carvalho condenado corrupcao passiva recorre liberdade pena dois anos oito meses prisao brasil pais onde mae rouba pra alimentar filho vai pra cadeia rouba bilhoes preso mansao piscina empregados ar condicionado netflix
25,fake,impossivel repetir sucesso disse lula jornal ingles the guardian lula longe ser pessoa humilde tenta passar imagem coitadinho sofrido verdadeiro luiz inacio arrogante soberbo prepotente questionado the guardian pretende voltar presidencia respondeu melhor presidente historia brasil quase impossivel alguem repetir desempenho somente poderia competir contra mim afirmou ataca todos contradizem faz papel vitima objetivo condenar lula acredito ha acordo algumas partes midia ministerio publico policia federal destruir imagem disse petista ainda encerra entrevista chave ouro nao pretendo mudar melhor presidente ja voltaire escritor filosofo homens influentes seculo xvii dizia seguinte homens erram grandes homens confessam erraram orgulho pequeno consiste falar sempre si proprio ja grande nunca fala
26,fake,escandalo vaticano vai julgar cardeal desviou verba hospital infantil reformar apto vaticano iniciou ontem julgamento dois hospital infantil santa roma tarcisio bertone bambino gesu sao acusados desviar fundos hospital infantil reformar luxuoso apartamento cardeal bertone estado papa bento xvi crime cometido cidade vaticano novembro maio informou santa atraves comunicado oficial acordo imprensa italiana acusados desviado euros cerca r milhao fundacao bambino gesu responsavel repassar verbas hospital especializado pediatria papa francisco exigiu punicao severa caso reus considerados culpados nao ha falar pobreza ter vida farao disse francisco bertone pediu demissao cargo negou acusacoes afirmou reformas suntuoso apartamento custaram euros custeadas proprio imovel magnanimo cardeal mede cerca informou jornal correio la sierra religioso divide aposentos mulheres religiosas secretaria cerca cardeais moram complexo localizado roma investidos milhoes equivalente r milhoes aquisicao apartamentos luxo complexo abriga maior sauna gay europa europa multi club informacao publicada jornal independent negocio fechado representante vaticano cardeal tarcisio bertone sim cardeal escandalo acima epoca governo silvio berlusconi concedeu beneficios fiscais compra imoveis imprensa italiana chegou publicar diversos artigos insinuando alguns cardeais frequentadores constantes sauna gay complexo possui banho turco massagem finlandesa tambem performance homem urso conforme anunciado site bruno faz papel tal homem urso pastor peludo tira roupas clericais permanece local apenas tanga
27,fake,vinganca cunha delata todos parlamentares receberam dinheiro afastar dilma parte delacao premiada eduardo cunha deixado varios politicos insonia cunha revelou quais deputados federais receberam dinheiro votar favor impeachment dilma rousseff proposta delacao ja sido aceita mpf informou todos detalhes valores pagamentos acordo jornalista globo ricardo noblat revelou nome todas fontes pagadoras michel temer tambem citado porem informacoes sobre presidente estao sendo mantidas sob sigilo absoluto eduardo cunha disse diversas situacoes atuou pagamentos chegassem ate deputados nao poupou deputados proximos disse noblat delacao cunha sendo feita simultaneamente delacao lucio funaro operador pmdb
28,fake,brasil tera neve somente amanha veja locais onde fenomeno podera ocorrer apos nevasca atingir santiago capital chile madrugada ontem brasil ja prepara receber menores temperaturas ano durante proxima semana alerta dado site climatempo segundo servicos meteorologia massa ar polar passou santiago avancara america sul proximos dias podera chegar sul brasil amanha frio intenso nao chegara centro pais possibilidade neve prevista apenas sul especificamente estados santa catarina parana rio grande sul area chances neve abrange cidades sao joaquim urubici urupema serras catarinenses tambem algumas cidades menor altitude planalto gaucho erechin passo fundo vacaria cidades palmas uniao vitoria parana chances sao menores porem ha possibilidades reais ocorrer fenomenos chuva congelada sincelo pedacos gelo suspensos arvores beirais telhados abaixo mapa possibilidade neve sul brasil julho
29,fake,tv record promete desmascarar globo sonegacao fiscal leis encomendadas emprestimos bilionarios programa domingo espetacular apresentado petista carteirinha paulo henrique amorim prometeu soltar reportagem bomba noite deste domingo materia questao envolve delacao antonio palocci rede globo televisao pha alertou globo pode estar envolvida escandalo lava jato casos envolvem sonegacao fiscal leis encomendadas emprestimos bilionarios atraves bancos publicos acordo chamada tv record programa sera apresentado partir
30,fake,lula desembarca rj hostilizado populacao hospede surpreende lula dentro hotel ai ladrao sob gritos lula ladrao lugar prisao desembarcou aeroporto rio janeiro ultima petista nao incomodou elogios ainda colocou sorriso amarelado cara pois lula queria justica ruas tendo leia tambem
31,fake,enquanto venezuelanos comem gatos pombos sobreviver lula grava video apoio maduro vim brasil porque preciso remedios esposa doente tambem ha escassez medicamentos venezuela daqui iremos atras comida abastecer familias disse venezuelano portal informou crise economica venezuela provocando corrida venezuelanos cidade pacaraima norte roraima cidade fica fronteira venezuela centenas pessoas chegam diariamente municipio pouco mil habitantes desesperadamente buscam comida remedios alguns chegam viajam ate dia inteiro filas enormes venezuelanos sao formadas comprar itens arroz farinha trigo oleo macarrao manteiga acucar familias inteiras sofrem desabastecimento alimentos venezuela lojas especializadas eletronicos oficinas ate farmacias estao abrindo espaco prateleiras vender alimentos pacotes arroz macarrao acucar oleo estao sendo vendidos ate r situacao venezuela ja alcancou ponto retorno caos tornou irreversivel abaixo foto caracas passada escassez desespero fome chegaram tal ponto venezuelanos estao cacando cachorros gatos ate pombos poder leia diz portal panam post medida desespero intensifica criminalidade torna inevitavel
32,fake,neto getulio vargas comete suicidio pai avo tambem suicidaram filho cacula fazendeiro manuel antonio vargas conhecido maneco vargas tambem cometeu suicidio anos atirando contra proprio peito janeiro manha hoje neto tambem cometeu suicidio anos getulio dornelles vargas neto advogado encontrado morto apartamento cidade porto alegre lado corpo advogado havia bilhete despedida acordo delegacia homicidios capital gaucha getulio neto atirou contra propria cabeca
33,fake,pha pede prisao donos globo diz jose serra maior ladrao brasil petista paulo henrique decidiu jogar duro defender idolos lula dilma pha conhecido redes sociais obsessao doentia prender donos rede globo video divulgado canal oficial youtube jornalista rasgou verbo contra fhc jose serra rede globo televisao fhc amigo companheiro coracao tantos anos jose serra conhecido maior ladrao brasil disse pha sobre globo jornalista disparou ja pensou filho todo poderoso roberto marinho preso olha nao diploma universitario confira
34,fake,deputado diz sergio moro nao carater condenou lula anos porque dedos todos conhecem jean wyllys atitudes infantis fato alem ser pessimo parlamentar nao representa anseios populacao brasileira jean esconde atras foro privilegiado atacar autoridades pais coisa tipica comunista apos divulgacao sentenca lula deputado big brother divulgou video decidiu vomitar asneiras internet confira festival besteiras
35,fake,delacao friboi coloca risco casamento temer alem estar correndo serio risco sofrer impeachment ser preso delacao friboi coloca risco ate casamento presidente temer afirma joesley batista pericias iniciais dao conta gravacao conversa presidente temer dono friboi editada menos trechos antes ser entregue policia federal michel temer tentou usar fato instrumento defesa enanto joesley batista volta surpreender brasil diz trechos editados poderiam colocar risco casamento tambem presidente michel temer menos trechos editados conversa joesley batista michel temer girou sobre mulheres dono jbs retirou parte proteger nao evidentemente proteger relacao presidente marcela temer minutos gravacao sao conhecidos
36,fake,doria manda recado lula justica feita so primeira condenacoes apos divulgacao sentenca condenatoria lula prefeito sao paulo usou redes sociais mandar recado doria disse justica feita defendeu lula certamente sera condenado segunda instancia petistas lulistas dilmistas esquerdistas pensam podem roubar mentir usurpar enganar povo brasileiro olha ai deu so primeira cinco condenacoes disse prefeito
37,fake,mestres edicao jon bon jovi cantando festa ape queen interpretando robocop gay conseguiram sincronizar audio video resultado fantastico cada videos ja compartilhado mil internautas primeiro roqueiro jon bon jovi interpretando musica gravada cantor sic latino ja segunda edicao clipe mostra banda queen nova formacao interpretando musica robocop gay saudoso grupo mamonas assassinas assista confira
38,fake,chamar stf corte acovardada ataca novamente chama pf carrapatos marco pf divulgou conversa onde lula chamava stf corte acovardada grampo policia federal flagrou dialogo tenso lula presidente afastada dilma rousseff audio lula diz suprema corte toda acovardada stj todo acovardado parlamento covarde desta vez ataque contra procuradores republica contra policia federal entrevista radio pernambuco lula ironizou operacao lava jato dizendo incomoda coceira carrapato ja carrapato disse pois lula sera carrapatos adquiridos la sitio atibaia
39,fake,homem faz apelo internet esposa doou todo dinheiro igreja ajudem favor empresario conta lutado pra juntar dinheirinho objetivo dar condicao melhor familia peco amigos publiquem video indignado mulher pegou dinheiro altissimo quarto doou tudo universal reginaldo conta homem honesto conhece sabe quanto trabalhador acordo horas manha trabalhar empresa materiais construcao aparentemente desesperado relata ainda tentou conversar pastor tentar ressarcir prejuizo vao confira
40,fake,general manda recado politicos nao ousem obstruir lei tao sonhada intervencao militar general reserva gilberto pimentel presidente clube militar mandou recado curto grosso corruptos artigo publicado site clube militar serve alerta estao destruindo nacao brasileira nao ousem obstruir aplicacao lei decretar fim democracia ai outra vez forcas vivas poderao manifestar escreveu general nao punicao corruptos poderemos assistir tao sonhada muitos intervencao militar pimentel destaca atual cenario brasileiro corrompido politicos dizem agir nome democracia porem praticam crimes corrupcao estao destruindo pais enquanto enriquecem custas dinheiro publico general destaca intervencao forma rapida retirar todos corruptos funcoes publicas recomecar pais atraves novas eleicoes diretas justica tarda tarda falha principalmente alvo sao pessoas poderosas ricas artigo publicado site clube militar abaixo artigo completo
